YEAR_STR,TMEAN,TDMEAN,TMEAN_INDEX,OVERALL_AVG_TEMP,OVERALL_AVG_INDEX,DEVIATION_TEMP,DEVIATION_INDEX
1983,68.8796483336741,59.57167450419137,68.9,70.536,70.6,-1.6563516663259037,-1.6999999999999886
1984,69.56136530462442,59.76879944539597,69.6,70.536,70.6,-0.9746346953755847,-1.0
1985,70.47408300960949,60.4242772439174,70.5,70.536,70.6,-0.06191699039051457,-0.09999999999999432
1986,71.1244121856471,61.02283786546718,71.2,70.536,70.6,0.5884121856471012,0.6000000000000085
1987,69.62494377427929,59.520609282355345,69.6,70.536,70.6,-0.9110562257207135,-1.0
1988,69.1164994698638,59.065292390506485,69.1,70.536,70.6,-1.4195005301362045,-1.5
1989,70.34598241668371,60.82431404620732,70.4,70.536,70.6,-0.19001758331629048,-0.19999999999998863
1990,72.11113473727254,62.093837661010014,72.2,70.536,70.6,1.5751347372725348,1.6000000000000085
1991,71.30512369658557,62.232349212839914,71.4,70.536,70.6,0.7691236965855666,0.8000000000000114
1992,69.66999836881169,60.23471984340592,69.7,70.536,70.6,-0.8660016311883112,-0.8999999999999915
1993,69.71162543447149,59.894577795951754,69.7,70.536,70.6,-0.8243745655285153,-0.8999999999999915
1994,70.9173093436925,62.36707012880801,71.1,70.536,70.6,0.38130934369249303,0.5
1995,70.15601308525864,61.03317113064813,70.2,70.536,70.6,-0.3799869147413659,-0.3999999999999915
1996,69.13909142810537,59.94134654595874,69.2,70.536,70.6,-1.3969085718946275,-1.3999999999999915
1997,70.46713964424453,61.488272336945414,70.6,70.536,70.6,-0.06886035575547567,0.0
1998,71.84232672255162,62.86698834594152,72.0,70.536,70.6,1.306326722551617,1.4000000000000057
1999,70.41492946227766,60.98285831118381,70.5,70.536,70.6,-0.12107053772234622,-0.09999999999999432
2000,69.67375010194927,59.5575442459832,69.7,70.536,70.6,-0.8622498980507345,-0.8999999999999915
2001,70.0489388673073,60.40005724800655,70.1,70.536,70.6,-0.4870611326927019,-0.5
2002,70.48198323451237,61.57040686976079,70.6,70.536,70.6,-0.054016765487631346,0.0
2003,70.02415048047435,61.13000204457166,70.1,70.536,70.6,-0.5118495195256543,-0.5
2004,69.91160590490172,60.356602234727994,69.9,70.536,70.6,-0.6243940950982818,-0.6999999999999886
2005,69.94109589041096,60.33577591494581,70.0,70.536,70.6,-0.5949041095890379,-0.5999999999999943
2006,70.48202003680228,59.56461255367,70.5,70.536,70.6,-0.053979963197718916,-0.09999999999999432
2007,70.91174401962789,60.03546922919649,70.9,70.536,70.6,0.37574401962788784,0.30000000000001137
2008,70.00771552075688,59.70123970312373,70.0,70.536,70.6,-0.5282844792431263,-0.5999999999999943
2009,70.36595788182376,60.899362093641386,70.4,70.536,70.6,-0.17004211817624082,-0.19999999999998863
2010,68.43813535064403,58.40008587200982,68.4,70.536,70.6,-2.0978646493559694,-2.1999999999999886
2011,70.81579227151911,61.013661827847066,70.9,70.536,70.6,0.27979227151911346,0.30000000000001137
2012,70.96408123317836,61.70720169643585,71.1,70.536,70.6,0.4280812331783608,0.5
2013,70.56326313637292,61.88514414230219,70.7,70.536,70.6,0.027263136372923213,0.10000000000000853
2014,69.59235739112655,60.95283991003884,69.7,70.536,70.6,-0.9436426088734464,-0.8999999999999915
2015,72.49772234716826,64.28380699243509,72.7,70.536,70.6,1.961722347168262,2.1000000000000085
2016,71.54248022184161,62.114839735747495,71.7,70.536,70.6,1.0064802218416133,1.1000000000000085
2017,71.84209773052545,63.05266407687589,72.0,70.536,70.6,1.306097730525451,1.4000000000000057
2018,71.18356573297895,62.72776528317318,71.3,70.536,70.6,0.647565732978947,0.7000000000000028
2019,72.18364751584544,63.49520752402371,72.4,70.536,70.6,1.647647515845435,1.8000000000000114
2020,72.19506973330071,63.758078460158224,72.4,70.536,70.6,1.6590697333007114,1.8000000000000114
2021,71.37346145982417,63.08393784502147,71.6,70.536,70.6,0.8374614598241692,1.0
2022,71.54942138621959,62.89829482723369,71.7,70.536,70.6,1.0134213862195907,1.1000000000000085
